IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
89.42.142.79,443,443,true,AMS,Europe,NL,Amsterdam,262,0.02
79.132.143.121,443,443,true,FRA,Europe,DE,Frankfurt,327,0.02
178.32.58.147,443,443,true,CDG,Europe,FR,Paris,219,0.01
94.177.8.9,443,443,true,VIE,Europe,AT,Vienna,323,0.00
150.230.63.93,443,0,true,KIX,Asia Pacific,JP,Osaka,74,0.00
134.185.119.136,443,443,true,SIN,Asia Pacific,SG,Singapore,107,0.00
52.202.68.136,443,443,true,IAD,North America,US,Ashburn,220,0.00
96.8.121.116,443,443,true,SEA,North America,US,Seattle,227,0.00
192.236.249.102,443,443,true,AMS,Europe,NL,Amsterdam,248,0.00
80.76.32.165,443,443,true,FRA,Europe,DE,Frankfurt,234,0.00
54.199.222.232,443,443,true,NRT,Asia Pacific,JP,Tokyo,40,0.00
89.110.71.35,443,443,true,AMS,Europe,NL,Amsterdam,220,0.00
5.61.57.62,443,443,true,AMS,Europe,NL,Amsterdam,346,0.00
67.226.223.81,443,443,true,LHR,Europe,GB,London,200,0.00
204.110.223.66,443,443,true,CMH,North America,US,Columbus,267,0.00
185.143.179.94,443,443,true,OTP,Europe,RO,Bucharest,336,0.00
217.142.134.72,443,443,true,ICN,Asia Pacific,KR,Seoul,75,0.00
18.135.67.188,443,443,true,LHR,Europe,GB,London,161,0.00
107.172.90.21,443,443,true,BUF,North America,US,Buffalo,229,0.00
195.54.175.160,443,443,true,AMS,Europe,NL,Amsterdam,364,0.00
94.177.8.23,443,443,true,VIE,Europe,AT,Vienna,320,0.00
67.226.223.246,443,443,true,LHR,Europe,GB,London,212,0.00
141.147.83.190,443,443,true,FRA,Europe,DE,Frankfurt,225,0.00
