IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
13.229.159.215,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,91,22.09
13.251.42.161,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,70,19.32
52.197.230.94,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,76,18.4
18.138.225.190,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,71,17.79
192.227.247.75,443,443,TRUE,LAX,North America,US,Los Angeles,160,15.06
18.141.153.178,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,77,14.59
31.129.48.139,443,443,TRUE,LED,Europe,RU,Saint Petersburg,231,13.97
23.185.168.180,443,443,TRUE,LAX,North America,US,Los Angeles,147,11.65
185.151.243.200,443,443,TRUE,LED,Europe,RU,Saint Petersburg,243,11.37
172.245.226.156,443,443,TRUE,DEN,North America,US,Denver,173,10.49
35.81.207.167,443,443,TRUE,PDX,North America,US,Portland,173,10.24
91.149.239.122,443,443,TRUE,LAX,North America,US,Los Angeles,202,9.75
5.255.99.242,443,443,TRUE,AMS,Europe,NL,Amsterdam,200,8.75
185.140.12.239,443,443,TRUE,FRA,Europe,DE,Frankfurt,200,8.44
8.222.209.106,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,196,8.42
37.1.207.228,443,443,TRUE,AMS,Europe,NL,Amsterdam,179,8.4
15.236.133.224,443,443,TRUE,CDG,Europe,FR,Paris,207,8.38
3.9.223.59,443,443,TRUE,LHR,Europe,GB,London,189,8.1
43.202.101.163,443,443,TRUE,ICN,Asia Pacific,KR,Seoul,175,8.04
154.26.186.86,443,443,TRUE,LAX,North America,US,Los Angeles,258,18.95
23.94.239.120,443,443,TRUE,LAX,North America,US,Los Angeles,167,16.46
91.149.239.64,443,443,TRUE,LAX,North America,US,Los Angeles,168,15.75
91.149.239.70,443,443,TRUE,LAX,North America,US,Los Angeles,164,14.7
198.46.190.116,443,443,TRUE,DFW,North America,US,Dallas,186,14.49
154.17.229.206,443,443,TRUE,LAX,North America,US,Los Angeles,149,14.34
47.76.68.32,443,443,TRUE,TPE,Asia Pacific,TW,Taipei,43,13.83
91.149.239.62,443,443,TRUE,LAX,North America,US,Los Angeles,161,13.52
141.105.70.114,443,443,TRUE,WAW,Europe,PL,Warsaw,131,13.29
8.20.125.2,443,443,TRUE,SFO,North America,US,San Francisco,141,13.23
185.103.109.139,443,443,TRUE,ARN,Europe,SE,Stockholm,235,13.06
63.237.48.111,443,443,TRUE,LAX,North America,US,Los Angeles,153,12.79
154.26.186.86,443,443,TRUE,LAX,North America,US,Los Angeles,138,11.85
179.43.176.163,443,443,TRUE,MXP,Europe,IT,Milan,240,11.67
185.212.60.148,443,443,TRUE,AMS,Europe,NL,Amsterdam,194,11.53
107.174.81.66,443,443,TRUE,LAX,North America,US,Los Angeles,151,11.41
163.5.207.31,443,443,TRUE,AMS,Europe,NL,Amsterdam,201,11.18
23.185.168.228,443,443,TRUE,LAX,North America,US,Los Angeles,149,10.88
184.95.40.67,443,443,TRUE,PHX,North America,US,Phoenix,181,9.68
192.3.251.17,443,443,TRUE,SEA,North America,US,Seattle,171,9.61
198.144.177.228,443,443,TRUE,ORD,North America,US,Chicago,255,9.14
146.56.130.69,443,443,TRUE,CDG,Europe,FR,Paris,201,8.77
212.41.15.119,443,443,TRUE,DME,Europe,RU,Moscow,253,8.65
104.168.62.119,443,443,TRUE,YYZ,North America,CA,Toronto,207,8.42
23.94.217.204,443,443,TRUE,AMS,Europe,NL,Amsterdam,259,8.37
3.15.156.215,443,443,TRUE,ORD,North America,US,Chicago,220,8.22
152.69.230.140,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,217,8.09
54.248.121.219,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,47,10.89
34.216.157.127,443,443,TRUE,PDX,North America,US,Portland,190,10.14
3.249.49.224,443,443,TRUE,DUB,Europe,IE,Dublin,279,8.17
170.106.152.78,443,443,TRUE,SJC,North America,US,San Jose,141,20.45
154.26.186.86,443,443,TRUE,LAX,North America,US,Los Angeles,141,19.27
154.26.180.33,443,443,TRUE,LAX,North America,US,Los Angeles,142,12.87
15.236.133.224,443,443,TRUE,CDG,Europe,FR,Paris,224,11.05
207.60.50.153,443,443,TRUE,LAX,North America,US,Los Angeles,164,10.85
37.123.192.147,443,443,TRUE,SJC,North America,US,San Jose,174,8.11
